iter	Passed	Remaining
0	134	134803
1	135	67616
2	136	45219
3	136	34015
4	137	27303
5	137	22821
6	138	19618
7	138	17213
8	139	15343
9	139	13847
10	140	12623
11	140	11603
12	141	10739
13	141	10000
14	142	9357
15	143	8817
16	144	8348
17	145	7931
18	146	7556
19	147	7228
20	148	6927
21	149	6660
22	150	6412
23	152	6184
24	153	5974
25	154	5781
26	155	5596
27	156	5424
28	157	5261
29	158	5110
30	158	4965
31	159	4826
32	161	4725
33	162	4603
34	162	4487
35	163	4375
36	164	4269
37	164	4168
38	165	4071
39	165	3979
40	166	3894
41	167	3810
42	167	3731
43	168	3656
44	169	3587
45	169	3524
46	170	3462
47	171	3400
48	172	3342
49	173	3292
50	174	3244
51	175	3202
52	176	3156
53	177	3109
54	178	3065
55	179	3022
56	180	2982
57	181	2943
58	182	2904
59	182	2866
60	183	2829
61	184	2794
62	185	2760
63	186	2728
64	187	2696
65	188	2670
66	189	2643
67	190	2614
68	191	2586
69	192	2558
70	193	2531
71	194	2508
72	195	2482
73	196	2457
74	197	2433
75	198	2412
76	199	2389
77	200	2367
78	201	2346
79	202	2326
80	202	2303
81	204	2284
82	204	2264
83	205	2244
84	206	2227
85	207	2209
86	208	2191
87	209	2174
88	210	2157
89	211	2140
90	212	2124
91	213	2109
92	214	2094
93	215	2078
94	216	2064
95	217	2048
96	218	2033
97	219	2019
98	220	2006
99	221	1992
100	222	1979
101	223	1967
102	224	1955
103	225	1943
104	226	1931
105	227	1918
106	228	1907
107	229	1895
108	230	1884
109	231	1873
110	232	1859
111	233	1848
112	234	1838
113	235	1828
114	236	1817
115	237	1807
116	238	1796
117	238	1786
118	239	1774
119	240	1764
120	241	1755
121	242	1746
122	243	1736
123	244	1727
124	245	1717
125	246	1708
126	247	1699
127	248	1691
128	249	1682
129	250	1674
130	251	1666
131	252	1657
132	252	1649
133	253	1640
134	254	1632
135	255	1625
136	256	1616
137	257	1609
138	258	1601
139	259	1593
140	260	1586
141	261	1579
142	262	1572
143	263	1565
144	264	1558
145	265	1551
146	266	1544
147	267	1537
148	267	1530
149	268	1523
150	269	1516
151	270	1510
152	271	1504
153	272	1497
154	273	1492
155	274	1486
156	275	1480
157	276	1474
158	277	1469
159	278	1463
160	279	1457
161	280	1451
162	281	1445
163	282	1439
164	283	1433
165	284	1427
166	284	1421
167	285	1415
168	286	1409
169	287	1404
170	288	1398
171	289	1393
172	290	1387
173	290	1381
174	291	1375
175	292	1370
176	293	1364
177	294	1359
178	295	1354
179	296	1349
180	297	1344
181	298	1339
182	299	1335
183	299	1330
184	300	1325
185	301	1320
186	302	1315
187	303	1310
188	304	1305
189	305	1301
190	306	1296
191	307	1292
192	307	1287
193	308	1283
194	309	1278
195	310	1274
196	311	1269
197	312	1265
198	313	1261
199	314	1257
200	315	1253
201	316	1249
202	317	1244
203	317	1240
204	319	1237
205	319	1233
206	320	1229
207	321	1225
208	322	1221
209	323	1217
210	324	1214
211	326	1212
212	327	1208
213	328	1206
214	329	1202
215	330	1199
216	331	1195
217	332	1191
218	333	1188
219	334	1184
220	334	1180
221	335	1177
222	336	1173
223	337	1170
224	338	1166
225	339	1163
226	340	1159
227	341	1155
228	342	1152
229	343	1148
230	343	1145
231	344	1141
232	345	1138
233	346	1134
234	347	1131
235	348	1128
236	349	1124
237	350	1121
238	351	1117
239	351	1114
240	352	1111
241	353	1108
242	354	1104
243	355	1101
244	356	1098
245	357	1095
246	358	1092
247	359	1088
248	359	1085
249	360	1082
250	361	1079
251	362	1076
252	363	1073
253	364	1069
254	365	1067
255	366	1064
256	367	1061
257	367	1058
258	368	1055
259	369	1052
260	370	1049
261	371	1046
262	372	1044
263	373	1041
264	374	1038
265	375	1035
266	376	1032
267	377	1030
268	378	1027
269	379	1024
270	379	1022
271	380	1019
272	381	1016
273	382	1014
274	383	1011
275	384	1008
276	385	1005
277	386	1003
278	387	1000
279	388	998
280	389	995
281	389	992
282	390	990
283	391	987
284	392	985
285	393	982
286	394	980
287	395	978
288	396	975
289	397	973
290	398	970
291	399	968
292	400	966
293	401	964
294	402	961
295	403	959
296	404	956
297	405	954
298	406	952
299	407	950
300	408	947
301	409	945
302	409	943
303	410	940
304	411	938
305	412	936
306	413	933
307	414	931
308	415	929
309	416	926
310	417	924
311	418	922
312	419	920
313	420	917
314	421	915
315	422	913
316	423	911
317	424	909
318	425	907
319	426	905
320	427	903
321	427	901
322	428	899
323	429	896
324	430	894
325	431	892
326	432	890
327	433	888
328	434	886
329	435	884
330	436	882
331	437	880
332	438	877
333	439	875
334	440	873
335	441	871
336	442	869
337	443	867
338	444	865
339	444	863
340	445	861
341	446	859
342	447	857
343	448	855
344	449	853
345	450	851
346	451	849
347	452	847
348	453	845
349	454	843
350	454	841
351	455	839
352	456	837
353	457	835
354	458	833
355	459	831
356	460	829
357	461	827
358	462	825
359	463	823
360	464	822
361	465	820
362	466	818
363	467	816
364	468	814
365	468	812
366	469	810
367	470	808
368	471	806
369	472	804
370	473	802
371	474	800
372	475	799
373	476	797
374	477	795
375	478	793
376	479	791
377	480	789
378	480	788
379	481	786
380	482	784
381	483	782
382	484	780
383	485	779
384	486	777
385	487	775
386	488	773
387	489	771
388	490	770
389	491	768
390	492	766
391	493	764
392	494	763
393	494	761
394	495	759
395	496	757
396	497	755
397	498	754
398	499	752
399	500	750
400	501	749
401	502	747
402	503	745
403	504	743
404	505	742
405	506	740
406	507	739
407	508	737
408	509	735
409	510	734
410	511	732
411	512	730
412	513	729
413	514	727
414	515	725
415	516	724
416	516	722
417	517	721
418	518	719
419	519	718
420	521	716
421	522	715
422	523	713
423	524	712
424	525	710
425	526	709
426	527	707
427	528	706
428	529	704
429	530	703
430	531	701
431	532	700
432	533	698
433	534	697
434	535	695
435	536	693
436	537	692
437	538	690
438	539	688
439	540	687
440	540	685
441	541	684
442	542	682
443	543	680
444	544	679
445	545	677
446	546	676
447	547	674
448	548	673
449	549	671
450	550	670
451	551	668
452	552	666
453	553	665
454	554	663
455	555	662
456	556	660
457	557	659
458	558	657
459	559	656
460	559	654
461	560	653
462	562	652
463	563	650
464	564	648
465	565	647
466	565	645
467	566	644
468	567	642
469	568	641
470	569	639
471	570	638
472	571	636
473	572	635
474	573	633
475	574	632
476	575	630
477	576	629
478	577	627
479	578	626
480	578	624
481	579	623
482	580	621
483	581	620
484	582	618
485	583	617
486	584	615
487	585	614
488	586	613
489	587	611
490	588	610
491	589	608
492	590	607
493	591	605
494	592	604
495	593	602
496	594	601
497	595	600
498	596	598
499	597	597
500	598	595
501	599	594
502	600	592
503	601	591
504	602	590
505	603	589
506	604	587
507	605	586
508	606	585
509	607	583
510	608	582
511	609	580
512	610	579
513	611	577
514	612	576
515	613	575
516	614	573
517	614	572
518	615	570
519	616	569
520	617	568
521	618	566
522	619	565
523	620	563
524	621	562
525	622	561
526	623	559
527	624	558
528	625	557
529	626	555
530	627	554
531	628	552
532	629	551
533	630	550
534	631	548
535	632	547
536	633	546
537	634	544
538	635	543
539	636	542
540	637	540
541	638	539
542	639	538
543	640	536
544	641	535
545	642	533
546	643	532
547	644	531
548	644	529
549	645	528
550	646	527
551	647	525
552	648	524
553	650	523
554	651	522
555	652	520
556	653	519
557	654	518
558	655	517
559	656	515
560	657	514
561	658	513
562	659	512
563	660	510
564	661	509
565	662	508
566	663	506
567	664	505
568	665	504
569	666	502
570	667	501
571	668	500
572	669	498
573	670	497
574	671	496
575	672	494
576	673	493
577	674	492
578	675	490
579	676	489
580	677	488
581	678	487
582	679	486
583	680	485
584	681	483
585	682	482
586	684	481
587	685	480
588	686	478
589	687	477
590	688	476
591	689	475
592	690	473
593	691	472
594	692	471
595	693	470
596	694	468
597	695	467
598	696	466
599	697	464
600	698	463
601	699	462
602	700	461
603	701	459
604	702	458
605	703	457
606	704	455
607	705	454
608	706	453
609	707	452
610	708	450
611	709	449
612	710	448
613	711	447
614	712	445
615	712	444
616	713	443
617	714	441
618	715	440
619	716	439
620	717	438
621	718	436
622	719	435
623	720	434
624	721	432
625	722	431
626	723	430
627	724	429
628	725	428
629	726	426
630	727	425
631	728	424
632	729	423
633	730	421
634	731	420
635	732	419
636	733	417
637	734	416
638	735	415
639	736	414
640	737	412
641	738	411
642	739	410
643	740	409
644	741	407
645	741	406
646	742	405
647	744	404
648	745	402
649	746	401
650	747	400
651	748	399
652	749	398
653	751	397
654	752	396
655	753	394
656	754	393
657	755	392
658	755	391
659	757	389
660	757	388
661	758	387
662	759	386
663	760	384
664	761	383
665	762	382
666	763	381
667	764	379
668	765	378
669	766	377
670	767	376
671	768	375
672	769	373
673	770	372
674	771	371
675	772	370
676	773	369
677	774	368
678	775	366
679	776	365
680	777	364
681	778	363
682	779	361
683	780	360
684	781	359
685	782	358
686	783	356
687	784	355
688	785	354
689	786	353
690	787	352
691	788	350
692	789	349
693	790	348
694	790	347
695	791	345
696	792	344
697	793	343
698	794	342
699	795	340
700	796	339
701	797	338
702	798	337
703	799	336
704	801	335
705	802	333
706	803	332
707	803	331
708	804	330
709	805	329
710	806	327
711	807	326
712	808	325
713	809	324
714	810	323
715	811	321
716	812	320
717	813	319
718	814	318
719	815	317
720	816	315
721	817	314
722	818	313
723	818	312
724	819	310
725	820	309
726	821	308
727	822	307
728	823	306
729	824	305
730	825	303
731	826	302
732	827	301
733	828	300
734	829	299
735	830	297
736	831	296
737	832	295
738	833	294
739	834	293
740	835	291
741	836	290
742	837	289
743	838	288
744	838	287
745	839	285
746	840	284
747	841	283
748	842	282
749	843	281
750	844	279
751	845	278
752	846	277
753	847	276
754	848	275
755	849	274
756	850	272
757	851	271
758	851	270
759	852	269
760	853	268
761	854	266
762	855	265
763	856	264
764	857	263
765	858	262
766	859	261
767	860	259
768	861	258
769	862	257
770	863	256
771	864	255
772	865	254
773	866	252
774	866	251
775	867	250
776	868	249
777	869	248
778	870	247
779	871	245
780	872	244
781	873	243
782	874	242
783	875	241
784	876	240
785	877	238
786	878	237
787	879	236
788	880	235
789	881	234
790	882	233
791	883	231
792	884	230
793	884	229
794	885	228
795	886	227
796	887	226
797	888	224
798	889	223
799	890	222
800	891	221
801	892	220
802	893	219
803	894	218
804	895	216
805	896	215
806	897	214
807	898	213
808	899	212
809	900	211
810	901	210
811	902	209
812	903	207
813	904	206
814	905	205
815	906	204
816	907	203
817	908	202
818	909	201
819	910	199
820	911	198
821	912	197
822	913	196
823	914	195
824	915	194
825	916	192
826	917	191
827	918	190
828	919	189
829	919	188
830	920	187
831	921	186
832	922	184
833	924	183
834	925	182
835	926	181
836	927	180
837	928	179
838	928	178
839	929	177
840	930	175
841	931	174
842	932	173
843	933	172
844	934	171
845	935	170
846	936	169
847	937	168
848	938	166
849	939	165
850	940	164
851	941	163
852	942	162
853	943	161
854	944	160
855	945	159
856	946	157
857	947	156
858	948	155
859	949	154
860	950	153
861	951	152
862	951	151
863	952	149
864	953	148
865	954	147
866	955	146
867	956	145
868	957	144
869	958	143
870	959	142
871	960	140
872	961	139
873	962	138
874	963	137
875	963	136
876	964	135
877	965	134
878	966	133
879	967	131
880	968	130
881	969	129
882	970	128
883	971	127
884	972	126
885	973	125
886	973	124
887	974	122
888	975	121
889	976	120
890	977	119
891	978	118
892	979	117
893	980	116
894	981	115
895	982	114
896	983	112
897	984	111
898	985	110
899	986	109
900	987	108
901	988	107
902	989	106
903	990	105
904	991	104
905	992	102
906	992	101
907	993	100
908	994	99
909	995	98
910	996	97
911	997	96
912	998	95
913	999	94
914	1000	92
915	1001	91
916	1002	90
917	1003	89
918	1004	88
919	1005	87
920	1006	86
921	1007	85
922	1008	84
923	1009	83
924	1010	81
925	1011	80
926	1012	79
927	1013	78
928	1014	77
929	1015	76
930	1016	75
931	1017	74
932	1018	73
933	1019	72
934	1020	70
935	1021	69
936	1022	68
937	1023	67
938	1024	66
939	1025	65
940	1026	64
941	1027	63
942	1028	62
943	1029	61
944	1030	59
945	1031	58
946	1032	57
947	1033	56
948	1034	55
949	1035	54
950	1036	53
951	1037	52
952	1038	51
953	1039	50
954	1039	49
955	1040	47
956	1041	46
957	1042	45
958	1043	44
959	1044	43
960	1045	42
961	1046	41
962	1047	40
963	1048	39
964	1049	38
965	1050	36
966	1051	35
967	1053	34
968	1054	33
969	1055	32
970	1056	31
971	1057	30
972	1058	29
973	1059	28
974	1060	27
975	1060	26
976	1061	24
977	1062	23
978	1063	22
979	1064	21
980	1065	20
981	1066	19
982	1067	18
983	1068	17
984	1069	16
985	1070	15
986	1071	14
987	1072	13
988	1073	11
989	1074	10
990	1075	9
991	1076	8
992	1077	7
993	1078	6
994	1079	5
995	1080	4
996	1081	3
997	1082	2
998	1083	1
999	1084	0
